city_name,region,federal_district,population,foundation_year,status,old_name
Алупка,Крым,Южный,9063,960,1938,"Алубика,Лупико"
Анадырь,Чукотский АО,Дальневосточный,13202,1889,1965,Новомариинск(до 1923)
Армянск,Крым,Южный,20692,1736,1993,Армянский Базар(до 1921)
Бахчисарай,Крым,Южный,28609,1532,1532,
Белоярский,Ханты-Мансийский АО,Уральский,19994,1969,1988,
Билибино,Чукотский АО,Дальневосточный,5546,1955,1993,Каральваам(до 1956)
Биробиджан,Еврейская АО,Дальневосточный,70064,1915,1931,Тихонькая(до 1931)
Губкинский,Ямало-Ненецкий АО,Уральский,33273,1986,1996,
Когалым,Ханты-Мансийский АО,Уральский,61441,1975,1985,Когалымский
Лабытнанги,Ямало-Ненецкий АО,Уральский,25501,1890,1975,
Лангепас,Ханты-Мансийский АО,Уральский,42701,1980,1985,
Лянтор,Ханты-Мансийский АО,Уральский,40977,1932,1992,"Пим,Лянторский"
Мегион,Ханты-Мансийский АО,Уральский,52887,1810,1980,
Муравленко,Ямало-Ненецкий АО,Уральский,29233,1984,1990,
Надым,Ямало-Ненецкий АО,Уральский,45973,1597,1972,
Нарьян-Мар,Ненецкий АО,Северо-Западный,23399,1929,1935,Белощелье
Нефтеюганск,Ханты-Мансийский АО,Уральский,124732,1961,1967,
Нижневартовск,Ханты-Мансийский АО,Уральский,283256,1909,1972,
Новый Уренгой,Ямало-Ненецкий АО,Уральский,107251,1975,1980,
Ноябрьск,Ямало-Ненецкий АО,Уральский,100188,1976,1982,Ноябрьский(до 1979)
Нягань,Ханты-Мансийский АО,Уральский,63034,1965,1985,Нях(до 1985)
Облучье,Еврейская АО,Дальневосточный,7959,1911,1915,Сололи(до 1915)
Певек,Чукотский АО,Дальневосточный,4015,1933,1967,
Покачи,Ханты-Мансийский АО,Уральский,16040,1984,1992,
Пыть-Ях,Ханты-Мансийский АО,Уральский,40180,1968,1990,
Салехард,Ямало-Ненецкий АО,Уральский,47910,1595,1938,Обдорск(до 1933)
Советский,Ханты-Мансийский АО,Уральский,31138,1963,1996,
Судак,Крым,Южный,17834,212,,"Солдая,Сугдея,Сидагиос,Сурож"
Сургут,Ханты-Мансийский АО,Уральский,396443,1594,1965,
Тарко-Сале,Ямало-Ненецкий АО,Уральский,19900,1932,2004,
Урай,Ханты-Мансийский АО,Уральский,41315,1922,1965,
Ханты-Мансийск,Ханты-Мансийский АО,Уральский,107473,1582,1950,Остяко-Вогульск(до 1940)
Щёлкино,Крым,Южный,10131,1978,1992,
Югорск,Ханты-Мансийский АО,Уральский,38238,1962,1992,Комсомольский(до 1992)
